ValueDateTime,Temperature
2007-08-16 ,22.2
2008-08-16 ,22.2
2009-08-16 ,22.2
2010-08-16 ,22.2
2011-08-16 ,22.2
2012-08-16 ,22.2
2013-08-16 ,22.2
2014-08-16 ,22.2
2015-08-16 ,22.2
2016-08-16 ,22.2
2017-08-16 ,22.2
2018-08-16 ,22.2
2019-08-16 ,22.2
2020-08-16 ,22.2
2021-08-16 ,22.2
2022-08-16 ,22.2
2023-08-16 ,22.2
2024-08-16 ,22.2
2025-08-16 ,22.2
2026-08-16 ,22.2
2027-08-16 ,22.2
2028-08-16 ,22.2
2029-08-16 ,22.2
2030-08-16 ,22.2
2031-08-16 ,22.2
2032-08-16 ,22.2
2033-08-16 ,22.2
2034-08-16 ,22.2
2035-08-16 ,22.2
2036-08-16 ,22.2
2037-08-16 ,22.2
2038-08-16 ,22.2
2039-08-16 ,22.2
2040-08-16 ,22.2
2041-08-16 ,22.2
2042-08-16 ,22.2
2043-08-16 ,22.2
2044-08-16 ,22.2
2045-08-16 ,22.2
2046-08-16 ,22.2
2047-08-16 ,22.2
2048-08-16 ,22.2
2049-08-16 ,22.2
2050-08-16 ,22.2
2051-08-16 ,22.2
2052-08-16 ,22.2
2053-08-16 ,22.2
2054-08-16 ,22.2
2055-08-16 ,22.2
2056-08-16 ,22.2
2057-08-16 ,22.2
2058-08-16 ,22.2
2059-08-16 ,22.2
2060-08-16 ,22.2
2061-08-16 ,22.2
2062-08-16 ,22.2
2063-08-16 ,22.2
2064-08-16 ,22.2
2065-08-16 ,22.2
2066-08-16 ,22.2
2067-08-16 ,22.2
2068-08-16 ,22.2
2069-08-16 ,22.2
2070-08-16 ,22.2
2071-08-16 ,22.2
2072-08-16 ,22.2
2073-08-16 ,22.2
2074-08-16 ,22.2
2075-08-16 ,22.2
2076-08-16 ,22.2
2077-08-16 ,22.2
2078-08-16 ,22.2
2079-08-16 ,22.2
2080-08-16 ,22.2
2081-08-16 ,22.2
2082-08-16 ,22.2
2083-08-16 ,22.2
2084-08-16 ,22.2
2085-08-16 ,22.2
2086-08-16 ,22.2
2087-08-16 ,22.2
2088-08-16 ,22.2
2089-08-16 ,22.2
2090-08-16 ,22.2
2091-08-16 ,22.2
2092-08-16 ,22.2
2093-08-16 ,22.2
2094-08-16 ,22.2
2095-08-16 ,22.2
2096-08-16 ,22.2
2097-08-16 ,22.2
2098-08-16 ,22.2
2099-08-16 ,22.2
2100-08-16 ,22.2
2101-08-16 ,22.2
2102-08-16 ,22.2
2103-08-16 ,22.2
2104-08-16 ,22.2
2105-08-16 ,22.2
2106-08-16 ,22.2
2107-08-16 ,22.2
2108-08-16 ,22.2
2109-08-16 ,22.2
2110-08-16 ,22.2
2111-08-16 ,22.2
2112-08-16 ,22.2
2113-08-16 ,22.2
2114-08-16 ,22.2
2115-08-16 ,22.2
2116-08-16 ,22.2
2117-08-16 ,22.2
2118-08-16 ,22.2
2119-08-16 ,22.2
2120-08-16 ,22.2
2121-08-16 ,22.2
2122-08-16 ,22.2
2123-08-16 ,22.2
2124-08-16 ,22.2
2125-08-16 ,22.2
2126-08-16 ,22.2
2127-08-16 ,22.2
2128-08-16 ,22.2
2129-08-16 ,22.2
2130-08-16 ,22.2
2131-08-16 ,22.2
2132-08-16 ,22.2
2133-08-16 ,22.2
2134-08-16 ,22.2
2135-08-16 ,22.2
2136-08-16 ,22.2
2137-08-16 ,22.2
2138-08-16 ,22.2
2139-08-16 ,22.2
2140-08-16 ,22.2
2141-08-16 ,22.2
2142-08-16 ,22.2
2143-08-16 ,22.2
2144-08-16 ,22.2
2145-08-16 ,22.2
2146-08-16 ,22.2
2147-08-16 ,22.2
2148-08-16 ,22.2
2149-08-16 ,22.2
2150-08-16 ,22.2
2151-08-16 ,22.2
2152-08-16 ,22.2
2153-08-16 ,22.2
2154-08-16 ,22.2
2155-08-16 ,22.2
2156-08-16 ,22.2
2157-08-16 ,22.2
2158-08-16 ,22.2
2159-08-16 ,22.2
2160-08-16 ,22.2
2161-08-16 ,22.2
2162-08-16 ,22.2
2163-08-16 ,22.2
2164-08-16 ,22.2
2165-08-16 ,22.2
2166-08-16 ,22.2
2167-08-16 ,22.2
2168-08-16 ,22.2
2169-08-16 ,22.2
2170-08-16 ,22.2
2171-08-16 ,22.2
2172-08-16 ,22.2
2173-08-16 ,22.2
2174-08-16 ,22.2
2175-08-16 ,22.2
2176-08-16 ,22.2
2177-08-16 ,22.2
2178-08-16 ,22.2
2179-08-16 ,22.2
2180-08-16 ,22.2
2181-08-16 ,22.2
2182-08-16 ,22.2
2183-08-16 ,22.2
2184-08-16 ,22.2
2185-08-16 ,22.2
2186-08-16 ,22.2
2187-08-16 ,22.2
2188-08-16 ,22.2
2189-08-16 ,22.2
2190-08-16 ,22.2
2191-08-16 ,22.2
2192-08-16 ,22.2
2193-08-16 ,22.2
2194-08-16 ,22.2
2195-08-16 ,22.2
2196-08-16 ,22.2
2197-08-16 ,22.2
2198-08-16 ,22.2
2199-08-16 ,22.2
2200-08-16 ,22.2
2201-08-16 ,22.2
2202-08-16 ,22.2
2203-08-16 ,22.2
2204-08-16 ,22.2
2205-08-16 ,22.2
2206-08-16 ,22.2
2207-08-16 ,22.2
2208-08-16 ,22.2
2209-08-16 ,22.2
2210-08-16 ,22.2
2211-08-16 ,22.2
2212-08-16 ,22.2
2213-08-16 ,22.2
2214-08-16 ,22.2
2215-08-16 ,22.2
2216-08-16 ,22.2
2217-08-16 ,22.2
2218-08-16 ,22.2
2219-08-16 ,22.2
2220-08-16 ,22.2
2221-08-16 ,22.2
2222-08-16 ,22.2
2223-08-16 ,22.2
2224-08-16 ,22.2
2225-08-16 ,22.2
2226-08-16 ,22.2
2227-08-16 ,22.2
2228-08-16 ,22.2
2229-08-16 ,22.2
2230-08-16 ,22.2
2231-08-16 ,22.2
2232-08-16 ,22.2
2233-08-16 ,22.2
2234-08-16 ,22.2
2235-08-16 ,22.2
2236-08-16 ,22.2
2237-08-16 ,22.2
2238-08-16 ,22.2
2239-08-16 ,22.2
2240-08-16 ,22.2
2241-08-16 ,22.2
2242-08-16 ,22.2
2243-08-16 ,22.2
2244-08-16 ,22.2
2245-08-16 ,22.2
2246-08-16 ,22.2
2247-08-16 ,22.2
2248-08-16 ,22.2
2249-08-16 ,22.2
2250-08-16 ,22.2
2251-08-16 ,22.2
2252-08-16 ,22.2
2253-08-16 ,22.2
2254-08-16 ,22.2
2255-08-16 ,22.2
2256-08-16 ,22.2
2257-08-16 ,22.2
2258-08-16 ,22.2
2259-08-16 ,22.2
2260-08-16 ,22.2
2261-08-16 ,22.2
2262-08-16 ,22.2
2263-08-16 ,22.2
2264-08-16 ,22.2
2265-08-16 ,22.2
2266-08-16 ,22.2
2267-08-16 ,22.2
2268-08-16 ,22.2
2269-08-16 ,22.2
2270-08-16 ,22.2
2271-08-16 ,22.2
2272-08-16 ,22.2
2273-08-16 ,22.2
2274-08-16 ,22.2
2275-08-16 ,22.2
2276-08-16 ,22.2
2277-08-16 ,22.2
2278-08-16 ,22.2
2279-08-16 ,22.2
2280-08-16 ,22.2
2281-08-16 ,22.2
2282-08-16 ,22.2
2283-08-16 ,22.2
2284-08-16 ,22.2
2285-08-16 ,22.2
2286-08-16 ,22.2
2287-08-16 ,22.2
2288-08-16 ,22.2
2289-08-16 ,22.2
2290-08-16 ,22.2
2291-08-16 ,22.2
2292-08-16 ,22.2
2293-08-16 ,22.2
2294-08-16 ,22.2
2295-08-16 ,22.2
2296-08-16 ,22.2
2297-08-16 ,22.2
2298-08-16 ,22.2
2299-08-16 ,22.2
2300-08-16 ,22.2
2301-08-16 ,22.2
2302-08-16 ,22.2
2303-08-16 ,22.2
2304-08-16 ,22.2
2305-08-16 ,22.2
2306-08-16 ,22.2
2307-08-16 ,22.2
2308-08-16 ,22.2
2309-08-16 ,22.2
2310-08-16 ,22.2
2311-08-16 ,22.2
2312-08-16 ,22.2
2313-08-16 ,22.2
2314-08-16 ,22.2
2315-08-16 ,22.2
2316-08-16 ,22.2
2317-08-16 ,22.2
2318-08-16 ,22.2
2319-08-16 ,22.2
2320-08-16 ,22.2
2321-08-16 ,22.2
2322-08-16 ,22.2
2323-08-16 ,22.2
2324-08-16 ,22.2
2325-08-16 ,22.2
2326-08-16 ,22.2
2327-08-16 ,22.2
2328-08-16 ,22.2
2329-08-16 ,22.2
2330-08-16 ,22.2
2331-08-16 ,22.2
2332-08-16 ,22.2
2333-08-16 ,22.2
2334-08-16 ,22.2
2335-08-16 ,22.2
2336-08-16 ,22.2
2337-08-16 ,22.2
2338-08-16 ,22.2
2339-08-16 ,22.2
2340-08-16 ,22.2
2341-08-16 ,22.2
2342-08-16 ,22.2
2343-08-16 ,22.2
2344-08-16 ,22.2
2345-08-16 ,22.2
2346-08-16 ,22.2
2347-08-16 ,22.2
2348-08-16 ,22.2
2349-08-16 ,22.2
2350-08-16 ,22.2
2351-08-16 ,22.2
2352-08-16 ,22.2
2353-08-16 ,22.2
2354-08-16 ,22.2
2355-08-16 ,22.2
2356-08-16 ,22.2
2357-08-16 ,22.2
2358-08-16 ,22.2
2359-08-16 ,22.2
2360-08-16 ,22.2
2361-08-16 ,22.2
2362-08-16 ,22.2
2363-08-16 ,22.2
2364-08-16 ,22.2
2365-08-16 ,22.2
2366-08-16 ,22.2
2367-08-16 ,22.2
2368-08-16 ,22.2
2369-08-16 ,22.2
2370-08-16 ,22.2
2371-08-16 ,22.2
2372-08-16 ,22.2
2373-08-16 ,22.2
2374-08-16 ,22.2
2375-08-16 ,22.2
2376-08-16 ,22.2
2377-08-16 ,22.2
2378-08-16 ,22.2
2379-08-16 ,22.2
2380-08-16 ,22.2
2381-08-16 ,22.2
2382-08-16 ,22.2
2383-08-16 ,22.2
2384-08-16 ,22.2
2385-08-16 ,22.2
2386-08-16 ,22.2
2387-08-16 ,22.2
2388-08-16 ,22.2
2389-08-16 ,22.2
2390-08-16 ,22.2
2391-08-16 ,22.2
2392-08-16 ,22.2
2393-08-16 ,22.2
2394-08-16 ,22.2
2395-08-16 ,22.2
2396-08-16 ,22.2
2397-08-16 ,22.2
2398-08-16 ,22.2
2399-08-16 ,22.2
2400-08-16 ,22.2
2401-08-16 ,22.2
2402-08-16 ,22.2
2403-08-16 ,22.2
2404-08-16 ,22.2
2405-08-16 ,22.2
2406-08-16 ,22.2
2407-08-16 ,22.2
2408-08-16 ,22.2
2409-08-16 ,22.2
2410-08-16 ,22.2
2411-08-16 ,22.2
2412-08-16 ,22.2
2413-08-16 ,22.2
2414-08-16 ,22.2
2415-08-16 ,22.2
2416-08-16 ,22.2
2417-08-16 ,22.2
2418-08-16 ,22.2
2419-08-16 ,22.2
2420-08-16 ,22.2
2421-08-16 ,22.2
2422-08-16 ,22.2
2423-08-16 ,22.2
2424-08-16 ,22.2
2425-08-16 ,22.2
2426-08-16 ,22.2
2427-08-16 ,22.2
2428-08-16 ,22.2
2429-08-16 ,22.2
2430-08-16 ,22.2
2431-08-16 ,22.2
2432-08-16 ,22.2
2433-08-16 ,22.2
2434-08-16 ,22.2
2435-08-16 ,22.2
2436-08-16 ,22.2
2437-08-16 ,22.2
2438-08-16 ,22.2
2439-08-16 ,22.2
2440-08-16 ,22.2
2441-08-16 ,22.2
2442-08-16 ,22.2
2443-08-16 ,22.2
2444-08-16 ,22.2
2445-08-16 ,22.2
2446-08-16 ,22.2
2447-08-16 ,22.2
2448-08-16 ,22.2
2449-08-16 ,22.2
2450-08-16 ,22.2
2451-08-16 ,22.2
2452-08-16 ,22.2
2453-08-16 ,22.2
2454-08-16 ,22.2
2455-08-16 ,22.2
2456-08-16 ,22.2
2457-08-16 ,22.2
2458-08-16 ,22.2
2459-08-16 ,22.2
2460-08-16 ,22.2
